uf,cep,cnpj,pais,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,motivo_situacao_cadastral,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial,ano,mes
df,70308200,26845283000166,brasil,demais,asa_sul,9,,brasilia,st_scs-b_quadra_9,3512300,bloco_a_sala_1201_parte_5,5.0,equatorial_transmissora_5_spe_s.a.,equatorial,89256950.0,9832172313,,,9701.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,5300108.0,2017-01-10,,2017-01-10,,2054,0,1,16,ativa,quadra,sem_motivo,matriz,2017,1
df,70308200,26845702000160,brasil,demais,asa_sul,9,,brasilia,st_scs-b_quadra_9,3512300,bloco_a_sala_1201_parte_7,5.0,equatorial_transmissora_7_spe_s.a.,equatorial,146857120.0,9832172313,,,9701.0,sociedade_anonima_aberta,,,2,transmissao_de_energia_eletrica,5300108.0,2017-01-10,,2017-01-10,,2046,0,1,16,ativa,quadra,sem_motivo,matriz,2017,1
df,70308200,27967244000102,brasil,demais,asa_sul,9,,brasilia,scs_quadra_9,3512300,bloco_a_sala_1201_parte_8,5.0,equatorial_transmissora_8_spe_s.a.,,171170610.0,9832172351,,,9701.0,sociedade_anonima_aberta,,,2,transmissao_de_energia_eletrica,5300108.0,2017-06-14,,2017-06-14,,2046,0,1,16,ativa,quadra,sem_motivo,matriz,2017,6
ex,,47321544000119,estados_unidos,,atlanta,s/n,,,1550_peachtree_srteet_n.w.,6462000,30309,,equifax_inc,equifax_inc,0.0,,,,,empresa_domiciliada_no_exterior,,,2,holdings_de_instituicoes_nao-financeiras,,2022-07-27,,2022-07-27,atlanta,2216,0,1,17,ativa,,sem_motivo,matriz,2022,7
sp,01451001,15385166000140,brasil,demais,jardim_paulistano,1188,,sao_paulo,brig_faria_lima,6462000,andar_6_conj_65_sala_06,5.0,equipav_saneamento_s.a.,,1278892900.0,1138188150,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2012-03-19,,2012-03-19,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2012,3
sp,17915899,30017051000197,brasil,demais,marrecas,s/n,,dracena,sao_jose_rodovia_comandante_joao_ribeiro_de_barros,6462000,km_638,5.0,totalenergies_dracena_participacoes_s.a.,,35796800.0,1137070600,,,6389.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3514403.0,2018-03-23,,2018-03-23,,2054,0,1,10,ativa,fazenda,sem_motivo,matriz,2018,3
sp,01455000,18247215000177,brasil,demais,jardim_europa,1400,,sao_paulo,hungria,4110700,andar_2_conj_22_parte,5.0,esp_96/13_empreendimentos_imobiliarios_ltda,esp_96/13_empreendimentos_imobiliarios,529472.0,1133773775,,,7107.0,sociedade_empresaria_limitada,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,2013-06-05,,2013-06-05,,2062,0,1,5,ativa,rua,sem_motivo,matriz,2013,6
sp,04533013,20514555000169,brasil,demais,itaim_bibi,841,2121019998,sao_paulo,tabapua,3512300,andar_2_conj_22,5.0,argo_vi_transmissao_de_energia_s.a,esperanza,215600290.0,1138108760,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2014-06-27,,2014-06-27,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2014,6
mg,32600836,07004980000140,brasil,demais,morada_do_trevo,sn,3135329339,betim,br-381_fernao_dias,3821100,km:_499;,5.0,essencis_mg_solucoes_ambientais_s/a,,6269694.5,1137481871,,,4133.0,sociedade_anonima_fechada,,,2,tratamento_e_disposicao_de_residuos_nao-perigosos,3106705.0,2004-09-23,,2004-09-23,,2054,0,1,10,ativa,rodovia,sem_motivo,matriz,2004,9
sp,04536010,07802794000156,brasil,demais,jardim_europa,98,1131477101,sao_paulo,campos_bicudo,3511501,andar_4_-_parte_a,5.0,essentia_pchs_s.a,,62557340.0,1123971450,,,7107.0,sociedade_anonima_aberta,,,2,geracao_de_energia_eletrica,3550308.0,2005-12-06,,2005-12-06,,2046,0,1,10,ativa,rua,sem_motivo,matriz,2005,12
pe,55590000,07699082000153,brasil,demais,ipojuca,s/n,8132243358,ipojuca,ilha_de_tatuoca,3011301,complexo_indl_porturio_gov._eraldo_gueiros-_suape,5.0,estaleiro_atlantico_sul_s/a_em_recuperacao_judicial,,2159899000.0,8133117726,,,2443.0,sociedade_anonima_fechada,recuperacao_judicial,,2,construcao_de_embarcacoes_de_grande_porte,2607208.0,2005-11-21,2020-02-07,2005-11-21,,2054,0,1,64,ativa,outros,sem_motivo,matriz,2005,11
mg,30170048,41738810000127,brasil,demais,santo_agostinho,1596,,belo_horizonte,ouro_preto,7739099,andar_13_sala_1302_sala_1303_parte,5.0,estrela_do_norte_geracao_de_energia_spe_s.a.,,163602060.0,1134732613,,,4123.0,sociedade_anonima_fechada,,,2,"aluguel_de_outras_maquinas_e_equipamentos_comerciais_e_industriais_nao_especificados_anteriormente,_sem_operador",3106200.0,2021-04-28,,2021-04-28,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2021,4
mg,38184200,05351887000186,brasil,demais,conjunto_habitacional_boa_vista,5005,8533075411,araxa,jose_ananias_de_aguiar,6436100,sala_f,5.0,"zema_credito,_financiamento_e_investimento_s/a",zema_financeira,102596430.0,3436691025,,,4079.0,sociedade_anonima_fechada,,,2,"sociedades_de_credito,_financiamento_e_investimento_-_financeiras",3104007.0,1977-04-13,,2005-11-03,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,1977,4
sp,05413909,56950951000186,brasil,demais,pinheiros,270,,sao_paulo,henrique_schaumann,6462000,andar_1_e_2_sobreloja,5.0,sf_848_participacoes_societarias_s.a,,40.0,1199999999,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2024-08-21,,2024-08-21,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2024,8
sp,04547905,25224629000146,brasil,demais,vila_olimpia,1996,,sao_paulo,gomes_de_carvalho,3512300,conj_151_andar_15_sala_p,5.0,etap_empresa_transmissora_agreste_potiguar_s.a.,etap_empresa_transmissora_agreste_potiguar_s.a.,10481000.0,1145712400,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2016-07-18,,2016-07-18,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2016,7
sp,04547006,24870961000115,brasil,demais,vila_olimpia,1996,1137593300,sao_paulo,gomes_de_carvalho,3512300,andar_15_conj_151_sala_u,5.0,etb_-_empresa_de_transmissao_baiana_s.a,,100243890.0,1145712400,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2016-05-24,,2016-05-24,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2016,5
sp,04547006,25224658000108,brasil,demais,vila_olimpia,1996,1130459502,sao_paulo,gomes_de_carvalho,3512300,conj_151_andar_15_sala_q,5.0,etc_-_empresa_transmissora_capixaba_s.a.,etc_-_empresa_transmissora_capixaba_s.a.,14651000.0,1145712400,,,7107.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3550308.0,2016-07-18,,2016-07-18,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2016,7
sp,04547006,08474754000195,brasil,demais,vila_olimpia,1581,1138824049,sao_paulo,gomes_de_carvalho,6462000,andar_13_conj_1302,5.0,etc._participacoes_s/a,,687152.0,1130468044,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2006-10-06,,2006-10-06,,2054,0,1,16,ativa,rua,sem_motivo,matriz,2006,10
sp,05423040,61092037000181,brasil,demais,pinheiros,85,,sao_paulo,dr._fernandes_coelho,2330303,8_andar,5.0,eternit_s.a,eternit,438081470.0,,,,7107.0,sociedade_anonima_aberta,,,2,fabricacao_de_artefatos_de_fibrocimento_para_uso_na_construcao,3550308.0,1973-04-27,,2005-11-03,,2046,0,1,64,ativa,rua,sem_motivo,matriz,1973,4
sp,04543900,56643018000166,brasil,demais,vila_nova_conceicao,1830,,sao_paulo,pres_juscelino_kubitschek,1621800,anexo_torre_ii_andar_11_sala_1,5.0,eucatex_s_a_industria_e_comercio,,1412752400.0,1130492427,,,7107.0,sociedade_anonima_aberta,,,2,"fabricacao_de_madeira_laminada_e_de_chapas_de_madeira_compensada,_prensada_e_aglomerada",3550308.0,1966-08-22,,2005-11-03,,2046,0,1,16,ativa,avenida,sem_motivo,matriz,1966,8
sp,04581060,61190096000192,brasil,demais,vila_cordeiro,525,,sao_paulo,pascoal_pais,2121101,andar_19,5.0,eurofarma_laboratorios_s.a.,eurofarma_-_momenta,1203877800.0,1150908612,,,7107.0,sociedade_anonima_aberta,,,2,fabricacao_de_medicamentos_alopaticos_para_uso_humano,3550308.0,1966-07-05,,2005-11-03,,2046,0,1,10,ativa,rua,sem_motivo,matriz,1966,7
sp,01455000,43470988000165,brasil,demais,jardim_europa,1400,1133773778,sao_paulo,hungria,4120400,andar_2_conj_22_andar_3,5.0,even_construtora_e_incorporadora_s/a,even,1657410000.0,1133773775,,,7107.0,sociedade_anonima_aberta,,,2,construcao_de_edificios,3550308.0,1980-05-15,,2005-11-03,,2046,0,1,10,ativa,rua,sem_motivo,matriz,1980,5
ex,,51682068000139,porto_rico,,san_juan,s/n,,,176_km_1.2_cupey_bajo,6462000,,,evertec_inc,evertec,0.0,,,,,empresa_domiciliada_no_exterior,,,2,holdings_de_instituicoes_nao-financeiras,,2023-08-03,,2023-08-03,san_juan,2216,0,1,17,ativa,,sem_motivo,matriz,2023,8
sp,01415906,17392519000165,brasil,demais,consolacao,986,1150413420,sao_paulo,bela_cintra,4723700,andar_8,5.0,e-vino_comercio_de_vinhos_s.a.,e-vino,471925340.0,1142004999,,,7107.0,sociedade_anonima_fechada,,,2,comercio_varejista_de_bebidas,3550308.0,2012-12-18,,2012-12-18,,2054,0,1,16,ativa,rua,sem_motivo,matriz,2012,12
rj,22775022,07114999000149,brasil,demais,jacarepagua,00199,2122173390,rio_de_janeiro,embaixador_abelardo_bueno,3512300,_sal_204,5.0,evoltz_iv_-_sao_mateus_transmissora_de_energia_s.a.,,92519020.0,2132163439,,,6001.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3304557.0,2004-11-11,,2004-11-11,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2004,11
rj,22775022,28037759000168,brasil,demais,jacarepagua,00199,,rio_de_janeiro,embaixador_abelardo_bueno,6462000,_sal_203_sal_204,5.0,evoltz_participacoes_s/a.,,750001000.0,2132671194,,,6001.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3304557.0,2017-06-26,,2017-06-26,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2017,6
pi,64206260,46270650000158,brasil,demais,sao_judas_tadeu,5895,,parnaiba,leonardo_de_carvalho_castelo_branco,6202300,sala_03_e_04,5.0,exa_servicos_de_tecnologia_s.a.,,35335150.0,8698590003,,,1153.0,sociedade_anonima_fechada,,,2,desenvolvimento_e_licenciamento_de_programas_de_computador_customizaveis,2207702.0,2022-05-04,,2022-05-04,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,2022,5
se,49020450,47815662000183,brasil,demais,salgado_filho,225,,aracaju,pedro_paes_de_azevedo,6461100,,5.0,exata_participacoes_societarias_s.a,exata_participacoes,41537820.0,7999180040,,,3105.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_financeiras,2800308.0,2022-09-02,,2022-09-02,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,2022,9
rs,96830504,95426862000197,brasil,demais,arroio_grande,192,00517191548,santa_cruz_do_sul,barao_do_arroio_grande,1013901,,5.0,excelsior_alimentos_sa.,,60548000.0,5121068800,5151068869,,8839.0,sociedade_anonima_aberta,,,2,fabricacao_de_produtos_de_carne,4316808.0,1966-09-05,,2005-11-03,,2046,0,1,10,ativa,rua,sem_motivo,matriz,1966,9
rj,20071004,04100850000112,brasil,demais,centro,955,2139743675,rio_de_janeiro,presidente_vargas,3512300,andar_14_sala_1401_parte,5.0,expansion_transmissao_de_energia_eletrica_s/a,,101747040.0,2121737560,,,6001.0,sociedade_anonima_fechada,,,2,transmissao_de_energia_eletrica,3304557.0,2000-10-20,,2005-08-27,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,2000,10
mg,37205850,19368927000107,brasil,demais,distrito_industrial_deputado_sylvio_menicucci,15,,lavras,alcides_thomaz_da_silva,4930202,,5.0,expresso_nepomuceno_s/a,,120000000.0,3536499900,,,4763.0,sociedade_anonima_fechada,,,2,"transporte_rodoviario_de_carga,_exceto_produtos_perigosos_e_mudancas,_intermunicipal,_interestadual_e_internacional",3138203.0,1977-07-14,,2005-11-03,,2054,0,1,16,ativa,rua,sem_motivo,matriz,1977,7
sp,05533000,03142682000165,brasil,demais,butanta,1415,,sao_paulo,eliseu_de_almeida,4110700,,5.0,exto_incorporacoes_e_empreendimentos_imobiliarios_sa,,180000000.0,,,,7107.0,sociedade_anonima_fechada,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,1999-05-06,,2000-09-21,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,1999,5
pe,52061410,14029911000156,brasil,demais,casa_forte,290,,recife,jaco_velosino,3512300,andar:_3;_sala:_301_a_304;_edif:_lucas_suassuna;,5.0,extremoz_transmissora_do_nordeste_-_etn_s.a.,extremoz_transmissora_do_nordeste_-_etn_s.a.,464184800.0,8130409696,,,2531.0,sociedade_anonima_fechada,,,8,transmissao_de_energia_eletrica,2611606.0,2011-07-27,,2019-11-01,,2054,2,1,10,baixada,rua,incorporacao,matriz,2011,7
sp,04501002,08312229000173,brasil,demais,ibirapuera,1921,1169427310,sao_paulo,republica_do_libano,4110700,,5.0,ez_tec_empreendimentos_e_participacoes_s/a,,2888996900.0,1150568300,,,7107.0,sociedade_anonima_aberta,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,2006-09-01,,2006-09-01,,2046,0,1,10,ativa,avenida,sem_motivo,matriz,2006,9
rj,21615340,14863079000199,brasil,demais,deodoro,0,2125593155,rio_de_janeiro,nazare,3701100,_est._de_trat._de_esg,5.0,f.ab._zona_oeste_s.a.,zona_oeste_mais_saneamento,1000.0,2132953100,2132953000,,6001.0,sociedade_anonima_fechada,,,2,gestao_de_redes_de_esgoto,3304557.0,2012-01-11,,2012-01-11,,2054,0,1,16,ativa,rua,sem_motivo,matriz,2012,1
sc,89217420,33064262000179,brasil,demais,costa_e_silva,245,,joinville,landmann,2813500,conj_2_sala_1,5.0,tigre_ferramentas_para_construcao_civil_s.a,,325530000.0,2130882204,,,8179.0,sociedade_anonima_fechada,,,2,"fabricacao_de_valvulas,_registros_e_dispositivos_semelhantes,_pecas_e_acessorios",4209102.0,1962-12-07,,2005-11-03,,2054,0,1,16,ativa,rua,sem_motivo,matriz,1962,12
rs,90020011,15581638000130,brasil,demais,centro_historico,1409,,porto_alegre,dos_andradas,6436100,sala_701_e_702,5.0,"facta_financeira_s.a._credito,_financiamento_e_investimento",facta_financeira,266656580.0,5125007013,,,8801.0,sociedade_anonima_fechada,,,2,"sociedades_de_credito,_financiamento_e_investimento_-_financeiras",4314902.0,2012-05-22,,2012-05-22,,2054,0,1,16,ativa,rua,sem_motivo,matriz,2012,5
sp,04511011,63063689000113,brasil,demais,vila_nova_conceicao,889,,sao_paulo,afonso_braz,8531700,,5.0,faculdades_metropolitanas_unidas_educacionais_ltda.,f.m.u.,1587372300.0,1131323000,,,7107.0,sociedade_empresaria_limitada,,,2,educacao_superior_-_graduacao,3550308.0,1971-02-26,,2003-10-04,,2062,0,1,5,ativa,rua,sem_motivo,matriz,1971,2
rs,93180000,90272337000140,brasil,demais,centro,891,,portao,brasil,4319300,sala,5.0,fagundes_construcao_e_mineracao_s/a,fagundes_mineracao,100000000.0,5135621118,,,8799.0,sociedade_anonima_fechada,,,2,servicos_de_preparacao_do_terreno_nao_especificados_anteriormente,4314803.0,1985-06-03,,2005-11-03,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,1985,6
pr,80020310,79430682000122,brasil,demais,centro,123,4132138321,curitiba,xv_de_novembro,4771701,loja_02,5.0,farmacia_e_drogaria_nissei_s.a,,383624800.0,4132138241,4196579221,,7535.0,sociedade_anonima_aberta,,,2,"comercio_varejista_de_produtos_farmaceuticos,_sem_manipulacao_de_formulas",4106902.0,1986-06-26,,2005-11-03,,2046,0,1,10,ativa,rua,sem_motivo,matriz,1986,6
mg,35502284,21759758000188,brasil,demais,c.in.cel.jov.rabelo,1001,,divinopolis,luiz_guilherme_da_silva,2063100,,5.0,farmax_s.a.,farmax,611989760.0,3721019696,3721019603,,4445.0,sociedade_anonima_fechada,,,2,"fabricacao_de_cosmeticos,_produtos_de_perfumaria_e_de_higiene_pessoal",3122306.0,1980-04-22,,2005-01-21,,2054,0,1,5,ativa,rua,sem_motivo,matriz,1980,4
sp,04578907,31191534000176,brasil,demais,brooklin_paulista,11541,,sao_paulo,das_nacoes_unidas,7739099,andar_11_conj_112_sala_15,5.0,faro_energy_i_comercio_e_locacao_de_projetos_s.a.,,4424748.0,1150936208,,,7107.0,sociedade_anonima_fechada,,,2,"aluguel_de_outras_maquinas_e_equipamentos_comerciais_e_industriais_nao_especificados_anteriormente,_sem_operador",3550308.0,2018-08-13,,2018-08-13,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2018,8
rj,22210901,05427471000102,brasil,demais,flamengo,200,0215338010,rio_de_janeiro,do_flamengo,151201,andar_19_(parte),5.0,fartura_agropecuaria_sa,fartura,89868930.0,2139746550,2139746580,,6001.0,sociedade_anonima_fechada,,,2,criacao_de_bovinos_para_corte,3304557.0,1970-10-13,,2005-11-03,,2054,0,1,10,ativa,praia,sem_motivo,matriz,1970,10
sp,04005030,15345352000156,brasil,demais,paraiso,31,1147957028,sao_paulo,curitiba,6810201,apt_311_321,5.0,fas_participacoes_ltda.,fas_participacoes,11442611.0,1143230425,,,7107.0,sociedade_empresaria_limitada,,,2,compra_e_venda_de_imoveis_proprios,3550308.0,2012-03-08,,2012-03-08,,2062,0,1,49,ativa,rua,sem_motivo,matriz,2012,3
sp,02029001,43708379000100,brasil,demais,carandiru,1650,,sao_paulo,zaki_narchi,4753900,nivel_sobreloja,5.0,fast_shop_s.a,,208820000.0,1132323000,,,7107.0,sociedade_anonima_fechada,,,2,comercio_varejista_especializado_de_eletrodomesticos_e_equipamentos_de_audio_e_video,3550308.0,1973-09-06,,2005-11-03,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,1973,9
sp,01228200,28798862000120,brasil,demais,consolacao,2466,,sao_paulo,angelica,4110700,andar_11_conj_111,5.0,fat_empreendimentos_e_participacoes_s.a,,10718400.0,1131595100,,,7107.0,sociedade_anonima_fechada,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,2017-10-05,,2017-10-05,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,2017,10
sp,04576010,26210970000105,brasil,demais,cidade_moncoes,85,,sao_paulo,jorn_roberto_marinho,6462000,andar_24_conj_241_-_parte_sala_08,5.0,green4t_participacoes_s.a.,green4t_participacoes,1200000.0,1144104380,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2016-09-21,,2016-09-21,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2016,9
sp,13644899,54846951000105,brasil,demais,rural,s/n,,pirassununga,loc_fazenda_da_rocha,1071600,,5.0,ferrari_agroindustria_s/a,,21540000.0,1935654665,,,6887.0,sociedade_anonima_fechada,,,2,fabricacao_de_acucar_em_bruto,3539301.0,1954-09-10,,2004-07-10,,2054,0,1,10,ativa,fazenda,sem_motivo,matriz,1954,9
pe,55293909,10230480000130,brasil,demais,santo_antonio,515,8737628010,garanhuns,santo_antonio,4744099,_525,5.0,ferreira_costa_&_cia_ltda,,500000000.0,8137628000,8137628112,,2419.0,sociedade_empresaria_limitada,,,2,comercio_varejista_de_materiais_de_construcao_em_geral,2606002.0,1966-09-08,,2005-11-03,,2062,0,1,49,ativa,avenida,sem_motivo,matriz,1966,9
sp,04547905,12489315000123,brasil,demais,vila_olimpia,1996,1145712400,sao_paulo,gomes_de_carvalho,3511501,andar_15_conj_151_sala_h,5.0,ferreira_gomes_energia_s.a.,,818858300.0,1145712400,,,7107.0,sociedade_anonima_aberta,,,2,geracao_de_energia_eletrica,3550308.0,2010-09-02,,2010-09-02,,2046,0,1,10,ativa,rua,sem_motivo,matriz,2010,9
mg,30150904,00924429000175,brasil,demais,floresta,383,,belo_horizonte,sapucai,4911600,parte,5.0,ferrovia_centro-atlantica_s.a,est_unif,4663323000.0,3132795562,,,4123.0,sociedade_anonima_aberta,,,2,transporte_ferroviario_de_carga,3106200.0,1995-11-16,,2005-11-03,,2046,0,1,16,ativa,rua,sem_motivo,matriz,1995,11
ma,65085582,09257877000137,brasil,demais,itaqui-pedrinhas,s/n,9832184499,sao_luis,dos_portugueses,4911600,_predio_diln_1_andar_sala_1_retorno_itaqu,5.0,ferrovia_norte_sul_s/a,ferrovia_norte_sul,859133950.0,3132795562,,,921.0,sociedade_anonima_aberta,,,2,transporte_ferroviario_de_carga,2111300.0,2007-12-14,,2007-12-14,,2046,0,1,16,ativa,avenida,sem_motivo,matriz,2007,12
sp,13148906,22266175000188,brasil,demais,betel,620,1933222289,paulinia,irene_karcher,2013402,,5.0,fertilizantes_heringer_s.a.,fertilizantes_heringer,594164900.0,2721222200,,,6831.0,sociedade_anonima_aberta,,,2,"fabricacao_de_adubos_e_fertilizantes,_exceto_organo-minerais",3536505.0,1973-01-22,,2005-11-03,,2046,0,1,10,ativa,avenida,sem_motivo,matriz,1973,1
rs,99700084,16959293000179,brasil,demais,centro,483,,erechim,sete_de_setembro,7711000,sala_05_b,5.0,ff_locadora_de_veiculos_s/a,ff_rent_a_car,20000.0,5496428206,,,8637.0,sociedade_anonima_fechada,,False,2,locacao_de_automoveis_sem_condutor,4307005.0,2012-09-24,,2012-09-24,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,2012,9
go,74934600,09046621000180,brasil,demais,cidade_vera_cruz,sn,9132251889,aparecida_de_goiania,primeira_avenida,4120400,quadra1b_lote_16/17/18_sl_4_cond_emp._village,5.0,fgr_urbanismo_belem_s/a-spe,fgr_urbanismo_belem,3093900.0,6230979700,,,9227.0,sociedade_anonima_fechada,,,2,construcao_de_edificios,5201405.0,2007-09-03,,2007-09-03,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2007,9
pr,85903590,00080782000116,brasil,demais,jardim_coopagro,3003,,toledo,ministro_cirne_lima,1311100,,5.0,fiasul_industria_de_fios_ltda,,28109672.0,,,,7927.0,sociedade_empresaria_limitada,,,2,preparacao_e_fiacao_de_fibras_de_algodao,4127700.0,1994-06-01,,2005-08-27,,2062,0,1,5,ativa,avenida,sem_motivo,matriz,1994,6
sc,88210000,10463951000150,brasil,demais,santa_luzia,5000,4933443901,porto_belo,jose_neoli_cruz,4652400,lote_33_quadraa_cond_abc_business_park,5.0,fiberx_telecom_s.a.,fiberx,31001338.0,4931192000,,,8265.0,sociedade_anonima_fechada,,False,2,comercio_atacadista_de_componentes_eletronicos_e_equipamentos_de_telefonia_e_comunicacao,4213500.0,2008-11-03,,2008-11-03,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2008,11
sp,01419901,36619747000170,brasil,demais,cerqueira_cesar,647,,sao_paulo,santos,6110803,andar_14_conj_141_edif_jean_khoury_farah,5.0,fibrasil_infraestrutura_e_fibra_otica_s.a.,,189496620.0,1134302145,,,7107.0,sociedade_anonima_fechada,,,2,servicos_de_comunicacao_multimidia_-_scm,3550308.0,2020-03-10,,2020-03-10,,2054,0,1,10,ativa,alameda,sem_motivo,matriz,2020,3
sp,04506905,07820907000146,brasil,demais,vila_nova_conceicao,48,,sao_paulo,sto_amaro,4110700,conj_62,5.0,fica_empreendimentos_imobiliarios_s.a,,122649260.0,2130314662,,,7107.0,sociedade_anonima_aberta,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,2006-01-23,,2006-01-23,,2046,0,1,10,ativa,avenida,sem_motivo,matriz,2006,1
sp,05425902,59546515000134,brasil,demais,pinheiros,7221,,sao_paulo,dra_ruth_cardoso,4763602,andar_1_e_3,5.0,fisia_comercio_de_produtos_esportivos_s.a.,,1418092400.0,1127396453,,,7107.0,sociedade_anonima_fechada,,,2,comercio_varejista_de_artigos_esportivos,3550308.0,1988-10-07,,2005-11-03,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,1988,10
rs,90010001,93211084000193,brasil,demais,centro_historico,1163,,porto_alegre,siqueira_campos,1354500,andar_2,5.0,fitesa_naotecidos_s/a,,610311040.0,5132114899,,,8801.0,sociedade_anonima_fechada,,,2,"fabricacao_de_tecidos_especiais,_inclusive_artefatos",4314902.0,1989-12-28,,2003-10-18,,2054,0,1,10,ativa,rua,sem_motivo,matriz,1989,12
rs,90010001,92197250000181,brasil,demais,centro,1163,,porto_alegre,siqueira_campos,1354500,conj_701,5.0,fitesa_s.a.,,713640260.0,5132114899,,,8801.0,sociedade_anonima_fechada,,,8,"fabricacao_de_tecidos_especiais,_inclusive_artefatos",4314902.0,1966-09-01,,2022-03-24,,2054,2,1,10,baixada,rua,incorporacao,matriz,1966,9
sp,04543000,20719524000144,brasil,demais,vila_nova_conceicao,1400,,sao_paulo,presidente_juscelino_kubitschek,6461100,_11_andar_-_edificio_maria_cecilia_lara_campos,5.0,flaflu_participacoes_s.a.,,36260332.0,1125055987,,,7107.0,sociedade_anonima_fechada,,,8,holdings_de_instituicoes_financeiras,3550308.0,2014-07-28,,2017-11-30,,2054,2,1,10,baixada,avenida,incorporacao,matriz,2014,7
sp,04703003,60840055000131,brasil,demais,jardim_das_acacias,8860,,sao_paulo,morumbi,8640202,andar_1_ao_8_subsl_1_ao_4_terreomezanino,5.0,fleury_s.a.,fleury_medicina_e_saude,2762949600.0,1150143559,,,7107.0,sociedade_anonima_aberta,,,2,laboratorios_clinicos,3550308.0,1966-07-19,,2005-11-03,,2046,0,1,10,ativa,avenida,sem_motivo,matriz,1966,7
sp,05501050,08505736000123,brasil,demais,butanta,120,1131444079,sao_paulo,lemos_monteiro,2061400,andar_20_-_lado_a,5.0,flora_produtos_de_higiene_e_limpeza_s.a,flora_produtos_de_higiene_e_limpeza,792561100.0,1136231038,,,7107.0,sociedade_anonima_fechada,,,2,fabricacao_de_saboes_e_detergentes_sinteticos,3550308.0,2006-10-27,,2006-10-27,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2006,10
rj,20031918,31785816000100,brasil,demais,centro,00052,,rio_de_janeiro,almirante_barroso,6462000,_18_andar,5.0,folha_larga_1_holding_s.a.,,155166290.0,2122421077,,,6001.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3304557.0,2018-10-17,,2018-10-17,,2054,0,1,16,ativa,avenida,sem_motivo,matriz,2018,10
