uf,cep,cnpj,pais,porte,bairro,numero,ddd_fax,municipio,logradouro,cnae_fiscal,complemento,codigo_porte,razao_social,nome_fantasia,capital_social,ddd_telefone_1,ddd_telefone_2,descricao_porte,codigo_municipio,natureza_juridica,situacao_especial,opcao_pelo_simples,situacao_cadastral,cnae_fiscal_descricao,codigo_municipio_ibge,data_inicio_atividade,data_situacao_especial,data_situacao_cadastral,nome_cidade_no_exterior,codigo_natureza_juridica,motivo_situacao_cadastral,identificador_matriz_filial,qualificacao_do_responsavel,descricao_situacao_cadastral,descricao_tipo_de_logradouro,descricao_motivo_situacao_cadastral,descricao_identificador_matriz_filial,ano,mes
sp,01452000,52009330000141,brasil,demais,jardim_paulistano,2277,,sao_paulo,brig_faria_lima,6822600,andar_20_conj_203_e_204_parte,5.0,kpar_empreendimentos_e_participacoes_ltda,,1000.0,1138111111,,,7107.0,sociedade_empresaria_limitada,,,2,gestao_e_administracao_da_propriedade_imobiliaria,3550308.0,2023-08-30,,2023-08-30,,2062,0,1,5,ativa,avenida,sem_motivo,matriz,2023,8
sc,89237310,00145602000137,brasil,demais,vila_nova,715,,joinville,dos_suicos,2223400,,5.0,krona_tubos_e_conexoes_ltda,,70000000.0,4734317800,,,8179.0,sociedade_empresaria_limitada,,,2,fabricacao_de_tubos_e_acessorios_de_material_plastico_para_uso_na_construcao,4209102.0,1994-08-15,,2005-11-03,,2062,0,1,5,ativa,rua,sem_motivo,matriz,1994,8
rs,99050130,06216625000171,brasil,demais,distrito_industrial,1380,,passo_fundo,arno_pini,2833000,,5.0,kuhn_do_brasil_s/a_-_implementos_agricolas,,320077820.0,,,,8785.0,sociedade_anonima_fechada,,,8,"fabricacao_de_maquinas_e_equipamentos_para_a_agricultura_e_pecuaria,_pecas_e_acessorios,_exceto_para_irrigacao",4314100.0,2004-04-15,,2021-03-18,,2054,2,1,10,baixada,rua,incorporacao,matriz,2004,4
es,29045403,00827783000181,brasil,demais,santa_luiza,2255,21254958,vitoria,nossa_senhora_da_penha,4511101,,5.0,kuruma_veiculos_s.a.,kuruma_veiculos_-toyota,36531310.0,2721252125,2721254939,,5705.0,sociedade_anonima_fechada,,,2,"comercio_a_varejo_de_automoveis,_camionetas_e_utilitarios_novos",3205309.0,1995-09-19,,2005-08-27,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,1995,9
go,75132140,17159229000176,brasil,demais,daia,s/n,6233102005,anapolis,vp_7d_modulo_11,2121101,quadra13,5.0,laboratorio_teuto_brasileiro_s/a,,68808170.0,6233102000,6233102033,,9221.0,sociedade_anonima_fechada,,,2,fabricacao_de_medicamentos_alopaticos_para_uso_humano,5201108.0,1971-02-08,,2005-11-03,,2054,0,1,16,ativa,viela,sem_motivo,matriz,1971,2
df,70632300,00718528000109,brasil,demais,zona_industrial,165,,brasilia,saa_quadra_3,8640202,,5.0,laboratorio_sabin_de_analises_clinicas_s.a.,sabin_medicina_diagnostica,74657100.0,6133298000,,,9701.0,sociedade_anonima_fechada,,,2,laboratorios_clinicos,5300108.0,1984-05-09,,2005-11-03,,2054,0,1,16,ativa,quadra,sem_motivo,matriz,1984,5
rj,23575330,60869336000117,brasil,demais,santa_cruz,02150,,rio_de_janeiro,aterrado_do_leme,2320600,,5.0,csn_cimentos_brasil_s.a.,,6056294400.0,1130497100,,,6001.0,sociedade_anonima_fechada,,,2,fabricacao_de_cimento,3304557.0,1966-07-19,,2005-11-03,,2054,0,1,10,ativa,estrada,sem_motivo,matriz,1966,7
to,77814680,38214919000150,brasil,demais,loteamento_mansoes_do_lago,142,,araguaina,araguaia,4110700,quadra0016_lote_001d,5.0,lago_center_empreendimentos_imobiliarios_s/a,shopping_lago_center,90429736.0,6230935700,,,9241.0,sociedade_anonima_fechada,,,2,incorporacao_de_empreendimentos_imobiliarios,1702109.0,2020-08-25,,2020-08-25,,2054,0,1,10,ativa,alameda,sem_motivo,matriz,2020,8
mg,30150270,29736734000115,brasil,demais,santa_efigenia,177,,belo_horizonte,dos_otoni,6462000,,5.0,lago_da_pedra_participacoes_s/a,,183988830.0,3125137550,,,4123.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3106200.0,2018-02-21,,2018-02-21,,2054,0,1,5,ativa,rua,sem_motivo,matriz,2018,2
rj,22210030,21540697000163,brasil,demais,flamengo,78,,rio_de_janeiro,do_flamengo,6462000,sala:_101;,5.0,lagoa_1_energia_renovavel_s.a.,,900.0,2122535252,,,6001.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3304557.0,2014-12-09,,2014-12-09,,2054,0,1,10,ativa,praia,sem_motivo,matriz,2014,12
sp,05069900,03460864000184,brasil,demais,lapa_de_baixo,111,1121855000,sao_paulo,werner_von_siemens,3511501,edif_ebparrk_cxpst_44191-0_conj_22_bloco_a_sala_23,5.0,lajeado_energia_s/a,lajeado_energia,306866270.0,1121855000,1121855181,,7107.0,sociedade_anonima_fechada,,,2,geracao_de_energia_eletrica,3550308.0,1999-10-13,,2005-11-03,,2054,0,1,16,ativa,rua,sem_motivo,matriz,1999,10
sp,01449070,30881433000164,brasil,demais,jardim_europa,96,,sao_paulo,gumercindo_saraiva,6463800,,5.0,lambda_energia_s.a.,,17156264.0,1132549810,,,7107.0,sociedade_anonima_fechada,,,2,"outras_sociedades_de_participacao,_exceto_holdings",3550308.0,2018-07-09,,2018-07-09,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2018,7
sp,01449070,34216487000166,brasil,demais,jardim_europa,96,,sao_paulo,gumercindo_saraiva,6463800,,5.0,lambda_ii_energia_s.a.,,30379900.0,1132549810,,,7107.0,sociedade_anonima_fechada,,,2,"outras_sociedades_de_participacao,_exceto_holdings",3550308.0,2019-07-15,,2019-07-15,,2054,0,1,10,ativa,rua,sem_motivo,matriz,2019,7
rj,20031130,35687756000135,brasil,demais,centro,00025,,rio_de_janeiro,alcindo_guanabara,6462000,_sal_1804,5.0,largo_da_carioca_participacoes_s.a.,largo_da_carioca_participacoes_s.a.,235186220.0,2125293587,,,6001.0,sociedade_anonima_fechada,,,8,holdings_de_instituicoes_nao-financeiras,3304557.0,2019-12-03,,2022-09-01,,2054,2,1,10,baixada,rua,incorporacao,matriz,2019,12
sp,04707910,40690178000126,brasil,demais,vila_gertrudes,999,,sao_paulo,roque_petroni_junior,6462000,andar_4_sala_55,5.0,lavras_ii_holding_2_s.a.,,212677060.0,1139574616,,,7107.0,sociedade_anonima_fechada,,,2,holdings_de_instituicoes_nao-financeiras,3550308.0,2021-02-03,,2021-02-03,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,2021,2
sp,01228200,26462693000128,brasil,demais,consolacao,2346,1199999999,sao_paulo,angelica,4110700,conj_84,5.0,lavvi_empreendimentos_imobiliarios_s.a.,,1133580700.0,1142101377,,,7107.0,sociedade_anonima_aberta,,,2,incorporacao_de_empreendimentos_imobiliarios,3550308.0,2016-11-01,,2016-11-01,,2046,0,1,10,ativa,avenida,sem_motivo,matriz,2016,11
sp,05425070,48114367000162,brasil,demais,pinheiros,8501,01130373092,sao_paulo,dra_ruth_cardoso,6622300,andar_29_escritorio_291_edif_eldorado_business_to,5.0,mds_corretora_e_administradora_de_seguros_s.a.,,148243060.0,1130935060,,,7107.0,sociedade_anonima_fechada,,,2,"corretores_e_agentes_de_seguros,_de_planos_de_previdencia_complementar_e_de_saude",3550308.0,1976-09-29,,2003-10-04,,2054,0,1,10,ativa,avenida,sem_motivo,matriz,1976,9
